route_key,seller_state,customer_state
AM -> AL,AM,AL
AM -> MA,AM,MA
AM -> MG,AM,MG
BA -> AC,BA,AC
BA -> AL,BA,AL
BA -> AM,BA,AM
BA -> AP,BA,AP
BA -> BA,BA,BA
BA -> CE,BA,CE
BA -> DF,BA,DF
BA -> ES,BA,ES
BA -> GO,BA,GO
BA -> MA,BA,MA
BA -> MG,BA,MG
BA -> MS,BA,MS
BA -> MT,BA,MT
BA -> PA,BA,PA
BA -> PB,BA,PB
BA -> PE,BA,PE
BA -> PI,BA,PI
BA -> PR,BA,PR
BA -> RJ,BA,RJ
BA -> RN,BA,RN
BA -> RO,BA,RO
BA -> RR,BA,RR
BA -> RS,BA,RS
BA -> SC,BA,SC
BA -> SE,BA,SE
BA -> SP,BA,SP
BA -> TO,BA,TO
CE -> AL,CE,AL
CE -> AM,CE,AM
CE -> BA,CE,BA
CE -> CE,CE,CE
CE -> DF,CE,DF
CE -> ES,CE,ES
CE -> GO,CE,GO
CE -> MA,CE,MA
CE -> MG,CE,MG
CE -> MS,CE,MS
CE -> MT,CE,MT
CE -> PA,CE,PA
CE -> PE,CE,PE
CE -> PI,CE,PI
CE -> PR,CE,PR
CE -> RJ,CE,RJ
CE -> RN,CE,RN
CE -> RO,CE,RO
CE -> SC,CE,SC
CE -> SE,CE,SE
CE -> SP,CE,SP
DF -> AC,DF,AC
DF -> AL,DF,AL
DF -> BA,DF,BA
DF -> CE,DF,CE
DF -> DF,DF,DF
DF -> ES,DF,ES
DF -> GO,DF,GO
DF -> MA,DF,MA
DF -> MG,DF,MG
DF -> MS,DF,MS
DF -> MT,DF,MT
DF -> PA,DF,PA
DF -> PB,DF,PB
DF -> PE,DF,PE
DF -> PI,DF,PI
DF -> PR,DF,PR
DF -> RJ,DF,RJ
DF -> RN,DF,RN
DF -> RS,DF,RS
DF -> SC,DF,SC
DF -> SE,DF,SE
DF -> SP,DF,SP
DF -> TO,DF,TO
ES -> BA,ES,BA
ES -> CE,ES,CE
ES -> DF,ES,DF
ES -> ES,ES,ES
ES -> GO,ES,GO
ES -> MA,ES,MA
ES -> MG,ES,MG
ES -> MT,ES,MT
ES -> PA,ES,PA
ES -> PE,ES,PE
ES -> PI,ES,PI
ES -> PR,ES,PR
ES -> RJ,ES,RJ
ES -> RN,ES,RN
ES -> RO,ES,RO
ES -> RS,ES,RS
ES -> SC,ES,SC
ES -> SP,ES,SP
ES -> TO,ES,TO
GO -> AC,GO,AC
GO -> AL,GO,AL
GO -> AM,GO,AM
GO -> AP,GO,AP
GO -> BA,GO,BA
GO -> CE,GO,CE
GO -> DF,GO,DF
GO -> ES,GO,ES
GO -> GO,GO,GO
GO -> MA,GO,MA
GO -> MG,GO,MG
GO -> MS,GO,MS
GO -> MT,GO,MT
GO -> PA,GO,PA
GO -> PB,GO,PB
GO -> PE,GO,PE
GO -> PI,GO,PI
GO -> PR,GO,PR
GO -> RJ,GO,RJ
GO -> RN,GO,RN
GO -> RO,GO,RO
GO -> RS,GO,RS
GO -> SC,GO,SC
GO -> SP,GO,SP
GO -> TO,GO,TO
MA -> AC,MA,AC
MA -> AL,MA,AL
MA -> AM,MA,AM
MA -> AP,MA,AP
MA -> BA,MA,BA
MA -> CE,MA,CE
MA -> DF,MA,DF
MA -> ES,MA,ES
MA -> GO,MA,GO
MA -> MA,MA,MA
MA -> MG,MA,MG
MA -> MS,MA,MS
MA -> MT,MA,MT
MA -> PA,MA,PA
MA -> PB,MA,PB
MA -> PE,MA,PE
MA -> PI,MA,PI
MA -> PR,MA,PR
MA -> RJ,MA,RJ
MA -> RN,MA,RN
MA -> RS,MA,RS
MA -> SC,MA,SC
MA -> SE,MA,SE
MA -> SP,MA,SP
MA -> TO,MA,TO
MG -> AC,MG,AC
MG -> AL,MG,AL
MG -> AM,MG,AM
MG -> AP,MG,AP
MG -> BA,MG,BA
MG -> CE,MG,CE
MG -> DF,MG,DF
MG -> ES,MG,ES
MG -> GO,MG,GO
MG -> MA,MG,MA
MG -> MG,MG,MG
MG -> MS,MG,MS
MG -> MT,MG,MT
MG -> PA,MG,PA
MG -> PB,MG,PB
MG -> PE,MG,PE
MG -> PI,MG,PI
MG -> PR,MG,PR
MG -> RJ,MG,RJ
MG -> RN,MG,RN
MG -> RO,MG,RO
MG -> RR,MG,RR
MG -> RS,MG,RS
MG -> SC,MG,SC
MG -> SE,MG,SE
MG -> SP,MG,SP
MG -> TO,MG,TO
MS -> AC,MS,AC
MS -> BA,MS,BA
MS -> DF,MS,DF
MS -> GO,MS,GO
MS -> MG,MS,MG
MS -> MT,MS,MT
MS -> PR,MS,PR
MS -> RJ,MS,RJ
MS -> RS,MS,RS
MS -> SC,MS,SC
MS -> SP,MS,SP
MT -> BA,MT,BA
MT -> CE,MT,CE
MT -> DF,MT,DF
MT -> ES,MT,ES
MT -> GO,MT,GO
MT -> MA,MT,MA
MT -> MG,MT,MG
MT -> MS,MT,MS
MT -> MT,MT,MT
MT -> PA,MT,PA
MT -> PB,MT,PB
MT -> PE,MT,PE
MT -> PR,MT,PR
MT -> RJ,MT,RJ
MT -> RN,MT,RN
MT -> RO,MT,RO
MT -> RS,MT,RS
MT -> SC,MT,SC
MT -> SP,MT,SP
PA -> MG,PA,MG
PA -> PR,PA,PR
PA -> SP,PA,SP
PB -> AL,PB,AL
PB -> BA,PB,BA
PB -> CE,PB,CE
PB -> DF,PB,DF
PB -> ES,PB,ES
PB -> MA,PB,MA
PB -> MG,PB,MG
PB -> MT,PB,MT
PB -> PA,PB,PA
PB -> PB,PB,PB
PB -> PE,PB,PE
PB -> RJ,PB,RJ
PB -> RN,PB,RN
PB -> SE,PB,SE
PB -> SP,PB,SP
PE -> AL,PE,AL
PE -> AP,PE,AP
PE -> BA,PE,BA
PE -> CE,PE,CE
PE -> DF,PE,DF
PE -> ES,PE,ES
PE -> GO,PE,GO
PE -> MA,PE,MA
PE -> MG,PE,MG
PE -> MS,PE,MS
PE -> MT,PE,MT
PE -> PA,PE,PA
PE -> PB,PE,PB
PE -> PE,PE,PE
PE -> PI,PE,PI
PE -> PR,PE,PR
PE -> RJ,PE,RJ
PE -> RN,PE,RN
PE -> RO,PE,RO
PE -> RS,PE,RS
PE -> SC,PE,SC
PE -> SE,PE,SE
PE -> SP,PE,SP
PE -> TO,PE,TO
PI -> CE,PI,CE
PI -> MA,PI,MA
PI -> MG,PI,MG
PI -> PB,PI,PB
PI -> PE,PI,PE
PI -> PI,PI,PI
PI -> PR,PI,PR
PI -> SC,PI,SC
PI -> SP,PI,SP
PR -> AC,PR,AC
PR -> AL,PR,AL
PR -> AM,PR,AM
PR -> AP,PR,AP
PR -> BA,PR,BA
PR -> CE,PR,CE
PR -> DF,PR,DF
PR -> ES,PR,ES
PR -> GO,PR,GO
PR -> MA,PR,MA
PR -> MG,PR,MG
PR -> MS,PR,MS
PR -> MT,PR,MT
PR -> PA,PR,PA
PR -> PB,PR,PB
PR -> PE,PR,PE
PR -> PI,PR,PI
PR -> PR,PR,PR
PR -> RJ,PR,RJ
PR -> RN,PR,RN
PR -> RO,PR,RO
PR -> RR,PR,RR
PR -> RS,PR,RS
PR -> SC,PR,SC
PR -> SE,PR,SE
PR -> SP,PR,SP
PR -> TO,PR,TO
RJ -> AC,RJ,AC
RJ -> AL,RJ,AL
RJ -> AM,RJ,AM
RJ -> AP,RJ,AP
RJ -> BA,RJ,BA
RJ -> CE,RJ,CE
RJ -> DF,RJ,DF
RJ -> ES,RJ,ES
RJ -> GO,RJ,GO
RJ -> MA,RJ,MA
RJ -> MG,RJ,MG
RJ -> MS,RJ,MS
RJ -> MT,RJ,MT
RJ -> PA,RJ,PA
RJ -> PB,RJ,PB
